"","participant","question_id","item_id","condition","response","rform","ws"
"1","1","Q1","F22","noVBothNom",1,"nom","both"
"2","1","Q2","F7","VOneNun",2,"nun","one"
"3","1","Q3","C16","BothLul",1,"lul","both"
"4","1","Q4","F12","VBothNun",2,"nun","both"
"5","1","Q5","C23","OneNun",2,"nun","one"
"6","1","Q6","F6","VBothNom",1,"nom","both"
"7","1","Q7","C19","OneNun",2,"nun","one"
"8","1","Q8","C2","OneLul",1,"lul","one"
"9","1","Q9","F15","noVOneNun",2,"nun","one"
"10","1","Q11","F24","noVBothNun",2,"nun","both"
"11","1","Q12","C11","BothNun",2,"nun","both"
"12","1","Q13","C7","BothLul",1,"lul","both"
"13","1","Q14","F9","VOneNom",1,"nom","one"
"14","1","Q15","C3","BothNun",2,"nun","both"
"15","1","Q16","F20","noVBothNun",2,"nun","both"
"16","1","Q17","C15","OneNun",2,"nun","one"
"17","1","Q18","F2","VBothNom",1,"nom","both"
"18","1","Q19","C22","OneNun",2,"nun","one"
"19","1","Q20","F3","VOneNun",2,"nun","one"
"20","1","Q22","C14","OneLul",1,"lul","one"
"21","1","Q23","F1","VOneNom",1,"nom","one"
"22","1","Q24","F10","VBothNom",1,"nom","both"
"23","1","Q25","C1","OneLul",1,"lul","one"
"24","1","Q26","C8","BothNun",2,"nun","both"
"25","1","Q27","F17","noVOneNom",1,"nom","one"
"26","1","Q28","F16","noVBothNun",2,"nun","both"
"27","1","Q29","C10","BothLul",1,"lul","both"
"28","1","Q30","C5","BothNun",2,"nun","both"
"29","1","Q31","F18","noVBothNom",1,"nom","both"
"30","1","Q33","F14","noVBothNom",1,"nom","both"
"31","1","Q34","C12","OneNun",2,"nun","one"
"32","1","Q35","C13","BothLul",1,"lul","both"
"33","1","Q36","F5","VOneNom",1,"nom","one"
"34","1","Q37","C9","BothLul",1,"lul","both"
"35","1","Q38","C17","OneLul",1,"lul","one"
"36","1","Q39","F23","noVOneNun",2,"nun","one"
"37","1","Q40","C18","BothNun",2,"nun","both"
"38","1","Q41","F13","noVOneNom",1,"nom","one"
"39","1","Q42","C6","OneLul",1,"lul","one"
"40","1","Q44","C4","OneLul",1,"lul","one"
"41","1","Q45","F4","VBothNun",2,"nun","both"
"42","1","Q46","C21","OneNun",2,"nun","one"
"43","1","Q47","F11","VOneNun",2,"nun","one"
"44","1","Q48","C24","BothNun",2,"nun","both"
"45","1","Q49","F21","noVOneNom",1,"nom","one"
"46","1","Q50","C20","BothLul",1,"lul","both"
"47","1","Q51","F8","VBothNun",2,"nun","both"
"48","1","Q52","F19","noVOneNun",2,"nun","one"
"49","2","Q1","F22","noVBothNom",1,"nom","both"
"50","2","Q2","F7","VOneNun",1,"nun","one"
"51","2","Q3","C16","BothLul",2,"lul","both"
"52","2","Q4","F12","VBothNun",1,"nun","both"
"53","2","Q5","C23","OneNun",2,"nun","one"
"54","2","Q6","F6","VBothNom",1,"nom","both"
"55","2","Q7","C19","OneNun",1,"nun","one"
"56","2","Q8","C2","OneLul",1,"lul","one"
"57","2","Q9","F15","noVOneNun",1,"nun","one"
"58","2","Q11","F24","noVBothNun",2,"nun","both"
"59","2","Q12","C11","BothNun",2,"nun","both"
"60","2","Q13","C7","BothLul",1,"lul","both"
"61","2","Q14","F9","VOneNom",1,"nom","one"
"62","2","Q15","C3","BothNun",2,"nun","both"
"63","2","Q16","F20","noVBothNun",2,"nun","both"
"64","2","Q17","C15","OneNun",1,"nun","one"
"65","2","Q18","F2","VBothNom",1,"nom","both"
"66","2","Q19","C22","OneNun",1,"nun","one"
"67","2","Q20","F3","VOneNun",1,"nun","one"
"68","2","Q22","C14","OneLul",1,"lul","one"
"69","2","Q23","F1","VOneNom",1,"nom","one"
"70","2","Q24","F10","VBothNom",1,"nom","both"
"71","2","Q25","C1","OneLul",1,"lul","one"
"72","2","Q26","C8","BothNun",2,"nun","both"
"73","2","Q27","F17","noVOneNom",1,"nom","one"
"74","2","Q28","F16","noVBothNun",1,"nun","both"
"75","2","Q29","C10","BothLul",1,"lul","both"
"76","2","Q30","C5","BothNun",2,"nun","both"
